Mês;Ano;Total Gasto
Janeiro;2021;19381.1563
Fevereiro;2021;19516.7103
Março;2021;19800.1603
Abril;2021;19664.89848
Maio;2021;19610.09693
Junho;2021;19389.96944
Julho;2021;19478.73737
Agosto;2021;19622.58893
Setembro;2021;19985.13256
Outubro;2021;20312.19704
Novembro;2021;19941.98833
Dezembro;2021;24247.00067
Janeiro;2022;18803.65233
Fevereiro;2022;19236.43304
Março;2022;20705.66073
Abril;2022;20699.86456
Maio;2022;20818.03369
Junho;2022;19880.30229
Julho;2022;19998.77933
Agosto;2022;21327.23459
Setembro;2022;20282.61176
Outubro;2022;20500.92704
Novembro;2022;22144.49333
Dezembro;2022;26990.91667
Janeiro;2023;23152.83556
Fevereiro;2023;23569.68889
Março;2023;23712.56
Abril;2023;23605.71704
Maio;2023;29323.86926
Junho;2023;23948.8937
Julho;2023;25067.77963
Agosto;2023;26638.69
Setembro;2023;24329.2337
Outubro;2023;27014.21037
Novembro;2023;25690.64704
Dezembro;2023;32797.59815
Janeiro;2024;27898.36
Fevereiro;2024;28023.39
Março;2024;25896.73
Abril;2024;25896.73
Maio;2024;26179.18
Junho;2024;26378.93
Julho;2025;26737.86
