Mês;Ano;Total Gasto
Janeiro;2021;12381.1563
Fevereiro;2021;12516.7103
Março;2021;12800.1603
Abril;2021;12664.89848
Maio;2021;12610.09693
Junho;2021;12389.96944
Julho;2021;12478.73737
Agosto;2021;12622.58893
Setembro;2021;12985.13256
Outubro;2021;13312.19704
Novembro;2021;12941.98833
Dezembro;2021;17247.00067
Janeiro;2022;11803.65233
Fevereiro;2022;12236.43304
Março;2022;13705.66073
Abril;2022;13699.86456
Maio;2022;13818.03369
Junho;2022;12880.30229
Julho;2022;12998.77933
Agosto;2022;14327.23459
Setembro;2022;13282.61176
Outubro;2022;13500.92704
Novembro;2022;15144.49333
Dezembro;2022;19990.91667
Janeiro;2023;16152.83556
Fevereiro;2023;16569.68889
Março;2023;16712.56
Abril;2023;16605.71704
Maio;2023;22323.86926
Junho;2023;16948.8937
Julho;2023;18067.77963
Agosto;2023;19638.69
Setembro;2023;17329.2337
Outubro;2023;20014.21037
Novembro;2023;18690.64704
Dezembro;2023;25797.59815
Janeiro;2024;20898.36
Fevereiro;2024;20423.39
Março;2024;18896.73
Abril;2024;19090.18
Maio;2024;19189.93
Junho;2024;19748.86
Julho;2024;19566.86
